config,global_heads,local_heads,seed,global_f1,global_mAP,global_acc,SPH_f1,PTB-XL_f1,SXPH_f1,G12EC_f1,SPH_mAP,PTB-XL_mAP,SXPH_mAP,G12EC_mAP,SPH_acc,PTB-XL_acc,SXPH_acc,G12EC_acc
global0_local8,0,8,1024,0.5205891193267208,0.45796896047560176,0.3218541468064824,0.8795193422578265,0.753249253875036,0.8469394070681439,0.7637231503579952,0.6142535608068037,0.6319381816488404,0.4045159692532699,0.4719416276515842,0.8448160535117056,0.5770241850683491,0.7875654811138683,0.556809024979855
global0_local8,0,8,123,0.4867798016106176,0.46589276269125274,0.2854504289799809,0.8722198908938313,0.7735470941883767,0.8706917624052799,0.7578569290631547,0.6129128873643638,0.6335089525414792,0.40488778466657466,0.4392123015492656,0.8354515050167224,0.6072555205047319,0.8110008271298594,0.5423045930701047
global0_local8,0,8,42,0.5268224671358386,0.4364190940104728,0.33764299332697806,0.8750263435194942,0.7428847081524361,0.8804286871456165,0.7162552100032061,0.5886627998234101,0.5770757895412191,0.39934770672078673,0.42834310590022007,0.8385730211817168,0.5772870662460567,0.8253377446925834,0.5036261079774376
global0_local8,0,8,456,0.48694768918232606,0.4010011559290332,0.3054099142040038,0.8692217358812854,0.7233958538993089,0.8533184606804238,0.6940203562340967,0.5644262786942159,0.5807939279155153,0.3739548923238699,0.3937492510409187,0.835005574136009,0.5536277602523659,0.7910118555279846,0.4786462530217567
global0_local8,0,8,789,0.5185988210583373,0.46344071698737216,0.3142874165872259,0.8779264214046822,0.7668711656441718,0.8679759618363174,0.7708462013588635,0.6056656187787038,0.6319395369685414,0.41174848430272243,0.45576168436220216,0.8390189520624304,0.6012092534174553,0.8149986214502344,0.5745366639806607
global1_local7,1,7,unknown,0.0,0.0764355689290591,0.0,0.0,0.0,0.0,0.0,0.06450049577610659,0.09984529123447583,0.07210711249143305,0.09429127702187219,0.0,0.0,0.0,0.0
global1_local7,1,7,unknown,0.7105356219906966,0.5183401732571467,0.5978312678741659,0.8700634335993452,0.7159774436090226,0.8516843232948459,0.7506670619626445,0.5931901463787821,0.5992910299028894,0.4065596338945042,0.4333490730725405,0.8049052396878483,0.5081493165089379,0.7650951199338296,0.5471394037066881
global1_local7,1,7,1024,0.6954803517755761,0.4946116526224019,0.5816253574833175,0.8655601659751038,0.7213366621855195,0.8440523273501673,0.736,0.5894688859895545,0.5865360669205741,0.4014001469147638,0.43336795497557984,0.8162764771460423,0.5126182965299685,0.7644058450510064,0.5060435132957293
global1_local7,1,7,123,0.7155818754753884,0.5349403744150034,0.6046234509056244,0.8591447707367337,0.7169309657202545,0.8589790226749121,0.7285886610373945,0.5808250422356472,0.5936475104422685,0.4057679780121791,0.43227937990091936,0.8040133779264214,0.5155099894847529,0.7787427626137303,0.5100725221595488
global1_local7,1,7,42,0.6975437823548849,0.5213488301201268,0.5765610104861774,0.8697778683513349,0.7199012533232054,0.8534575420996059,0.757851482242442,0.5875338727946057,0.5985754136074951,0.40262703558638047,0.43819682800481663,0.7971014492753623,0.5144584647739222,0.7646815550041357,0.5535858178887993
global1_local7,1,7,456,0.6677053824362607,0.5208383778060017,0.5206148713060057,0.8636828121806662,0.7209280568809056,0.8456441717791411,0.7471371092541009,0.6058584822012463,0.6127473436021502,0.41110866668486545,0.42621781233488554,0.7946488294314381,0.5084121976866456,0.7769506479183899,0.5358581788879936
global1_local7,1,7,789,0.5622877883151856,0.48297284031483523,0.4346401334604385,0.8737007874015748,0.7309434705534764,0.8567746686303387,0.745085995085995,0.5991842960380869,0.6162106140716843,0.4080005238712271,0.4380433949036666,0.8365663322185062,0.5494216614090431,0.7893575958092087,0.5286059629331185
global2_local6,2,6,unknown,0.0,0.07326828602256319,0.0,0.0,0.0,0.0,0.0,0.061057437686538894,0.07725049434563713,0.08009614015133688,0.08498755808138773,0.0,0.0,0.0,0.0
global2_local6,2,6,unknown,0.6694654982953425,0.5399237840249816,0.528836987607245,0.8789070585800042,0.7402870813397129,0.8408545367258762,0.7475756685277696,0.5935900330149273,0.6089815857514449,0.40643399266178937,0.43749064475035027,0.8309921962095875,0.5470557308096741,0.7579266611524677,0.5205479452054794
global2_local6,2,6,1024,0.5395399922470604,0.4577123603928069,0.35855576739752143,0.8625451455279372,0.679718875502008,0.8579802173647576,0.696901948259342,0.5555040793114187,0.5553143126812727,0.3767543384156685,0.4138792194731444,0.8129319955406912,0.47896950578338593,0.7812241521918941,0.47300564061240935
global2_local6,2,6,123,0.6217808060977018,0.5258380023077991,0.4802192564346997,0.8690401832188216,0.73064039408867,0.8639585773284842,0.721636305528923,0.5727744383562057,0.583890858240523,0.40365996842090424,0.42265166378408026,0.8236343366778149,0.5520504731861199,0.7998345740281224,0.5076551168412571
global2_local6,2,6,42,0.7043059073453714,0.5420582305365327,0.5755481410867492,0.8764760242324674,0.7403251877911952,0.8605682771849898,0.7494186046511628,0.6061986204818585,0.6076612573836394,0.40304076740594186,0.4349688123933436,0.8236343366778149,0.5515247108307045,0.7758478081058726,0.5197421434327155
global2_local6,2,6,456,0.6899242338572883,0.5118104685279203,0.568219733079123,0.8765887658876589,0.718258534714231,0.8598482549317147,0.7465298732649366,0.5940898939820561,0.6108942770134888,0.4079067417284616,0.4504907135003278,0.8171683389074693,0.5273396424815984,0.7866004962779156,0.5358581788879936
global2_local6,2,6,789,0.6124062792877226,0.45920972165119134,0.47956387035271686,0.8543892729939242,0.6458271310906024,0.8181543846943087,0.645935960591133,0.4917374679189802,0.5135600712763413,0.3379807820538747,0.3650573808049744,0.8028985507246377,0.4340168243953733,0.7307692307692307,0.4125705076551168
global3_local5,3,5,unknown,0.0,0.054660702112827655,0.0,0.0,0.0,0.0,0.0,0.050176110217776716,0.06808630222298274,0.056597579432931255,0.06963531254629399,0.0,0.0,0.0,0.0
global3_local5,3,5,unknown,0.5649268085938773,0.450414580874425,0.39775977121067685,0.873841025106782,0.7252265710586595,0.8683518958828682,0.7084415584415584,0.5878447590117831,0.5951116115860655,0.3934246846511649,0.4342291816283552,0.8267558528428094,0.5591482649842271,0.8101736972704715,0.48751007252215955
global3_local5,3,5,1024,0.6408750591444238,0.5175396831427782,0.5,0.877811172142191,0.7297191121587114,0.8531063213186018,0.7447647951441578,0.6020077194997477,0.6224016031882896,0.4086358415777084,0.4316713091936938,0.8301003344481606,0.5431125131440588,0.7809484422387648,0.5294117647058824
global3_local5,3,5,123,0.7303664257639153,0.5503538731505142,0.6049809342230696,0.8645069274653626,0.7155792028376738,0.8408660672030289,0.7525103366804489,0.5909626664707233,0.60817165637879,0.4070452825093568,0.44388831498018194,0.7950947603121516,0.501577287066246,0.7470361180038599,0.532634971796938
global3_local5,3,5,42,0.5551534122403731,0.45777827135128735,0.3820900857959962,0.8709208064851383,0.7224432948666932,0.8682421899357735,0.7000320821302535,0.5840267832251104,0.5914423525841503,0.39588949774076754,0.41563320307428225,0.8211817168338907,0.5580967402733964,0.8092087124345189,0.48428686543110394
global3_local5,3,5,456,0.6211917288633305,0.46500682033805474,0.45412297426120113,0.878298049848785,0.7452902729719338,0.8707607699358387,0.7521764364480558,0.5996694312761838,0.6038646776982565,0.4061071884361091,0.4489067908369302,0.8365663322185062,0.5728180862250263,0.8064516129032258,0.5261885576148267
global3_local5,3,5,789,0.7048401037165082,0.5585234096688723,0.573045757864633,0.8790205436812617,0.7427184466019418,0.8539125260339184,0.736455463728191,0.6092133187854362,0.5997334307191606,0.40491554786132894,0.45144323019622734,0.8280936454849498,0.5312828601472135,0.7671629445822994,0.5213537469782433
global4_local4,4,4,unknown,0.0,0.0640414371157571,0.0,0.0,0.0,0.0,0.0,0.058956975350153075,0.08144911064933234,0.05824680511170399,0.07075322278970334,0.0,0.0,0.0,0.0
global4_local4,4,4,unknown,0.7017256890488264,0.5370154903099442,0.5766205910390848,0.8608803986710963,0.7097821933511654,0.8555851708262661,0.7307692307692307,0.5781281816286852,0.585134582818619,0.4105440972897159,0.43695761712438036,0.8100334448160535,0.5131440588853838,0.7728149986214502,0.5012087026591459
global4_local4,4,4,1024,0.6451365765978136,0.48136813536060596,0.503038608198284,0.8757297748123436,0.7399389943914199,0.8732220922356998,0.7438468550592525,0.6054208136287481,0.6025940437039008,0.40627666599258117,0.4391925028705833,0.8316610925306578,0.5704521556256572,0.808795147504825,0.5358581788879936
global4_local4,4,4,123,0.6248649760814773,0.5126547318382857,0.4746782650142993,0.8689570047315367,0.7373796896483992,0.861202709994604,0.7470817120622568,0.60133878542622,0.6123046955959195,0.41056457551756215,0.45253643572152613,0.8162764771460423,0.555205047318612,0.7805348773090709,0.532634971796938
global4_local4,4,4,42,0.7148772473485961,0.5433819709957608,0.593243565300286,0.8623796210003106,0.7305025173363732,0.8532087832099964,0.7390521895620876,0.5852785695865536,0.5892156924127103,0.4098814230055776,0.43300044454048486,0.8176142697881829,0.5281282860147214,0.7730907085745795,0.5116841257050766
