algorithm,SPH_acc,SPH_micro_f1,SPH_mAP,PTB-XL_acc,PTB-XL_micro_f1,PTB-XL_mAP,SXPH_acc,SXPH_micro_f1,SXPH_mAP,G12EC_acc,G12EC_micro_f1,G12EC_mAP,global_acc,global_micro_f1,global_mAP,SPH_acc_std,SPH_micro_f1_std,SPH_mAP_std,PTB-XL_acc_std,PTB-XL_micro_f1_std,PTB-XL_mAP_std,SXPH_acc_std,SXPH_micro_f1_std,SXPH_mAP_std,G12EC_acc_std,G12EC_micro_f1_std,G12EC_mAP_std,global_acc_std,global_micro_f1_std,global_mAP_std,num_seeds,cross_acc_SPH_to_SPH,cross_acc_SPH_to_PTB-XL,cross_acc_SPH_to_SXPH,cross_acc_SPH_to_G12EC,cross_acc_PTB-XL_to_SPH,cross_acc_PTB-XL_to_PTB-XL,cross_acc_PTB-XL_to_SXPH,cross_acc_PTB-XL_to_G12EC,cross_acc_SXPH_to_SPH,cross_acc_SXPH_to_PTB-XL,cross_acc_SXPH_to_SXPH,cross_acc_SXPH_to_G12EC,cross_acc_G12EC_to_SPH,cross_acc_G12EC_to_PTB-XL,cross_acc_G12EC_to_SXPH,cross_acc_G12EC_to_G12EC,cross_f1_SPH_to_SPH,cross_f1_SPH_to_PTB-XL,cross_f1_SPH_to_SXPH,cross_f1_SPH_to_G12EC,cross_f1_PTB-XL_to_SPH,cross_f1_PTB-XL_to_PTB-XL,cross_f1_PTB-XL_to_SXPH,cross_f1_PTB-XL_to_G12EC,cross_f1_SXPH_to_SPH,cross_f1_SXPH_to_PTB-XL,cross_f1_SXPH_to_SXPH,cross_f1_SXPH_to_G12EC,cross_f1_G12EC_to_SPH,cross_f1_G12EC_to_PTB-XL,cross_f1_G12EC_to_SXPH,cross_f1_G12EC_to_G12EC,cross_mAP_SPH_to_SPH,cross_mAP_SPH_to_PTB-XL,cross_mAP_SPH_to_SXPH,cross_mAP_SPH_to_G12EC,cross_mAP_PTB-XL_to_SPH,cross_mAP_PTB-XL_to_PTB-XL,cross_mAP_PTB-XL_to_SXPH,cross_mAP_PTB-XL_to_G12EC,cross_mAP_SXPH_to_SPH,cross_mAP_SXPH_to_PTB-XL,cross_mAP_SXPH_to_SXPH,cross_mAP_SXPH_to_G12EC,cross_mAP_G12EC_to_SPH,cross_mAP_G12EC_to_PTB-XL,cross_mAP_G12EC_to_SXPH,cross_mAP_G12EC_to_G12EC,run_dir
fedala,83.30,87.54,59.75,56.47,75.79,57.16,80.49,86.23,38.58,34.97,67.53,40.06,55.58,68.41,52.81,,,,,,,,,,,,,,,,,83.30,42.09,55.97,35.29,56.97,56.47,10.67,20.63,17.70,4.50,80.49,40.21,8.78,8.54,17.80,34.97,87.54,59.08,66.34,55.28,66.86,75.79,31.52,48.62,24.35,19.19,86.23,59.18,24.67,30.64,54.73,67.53,59.75,50.49,31.80,36.65,48.84,57.16,32.53,38.66,41.12,42.08,38.58,35.26,38.49,41.62,30.95,40.06,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\fedala\20260128215939
fedsm,37.32,50.18,53.15,21.79,45.54,58.39,67.65,75.00,38.77,53.91,74.66,44.54,48.14,62.12,54.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C:\Users\kl23a\Documents\Working\FedCVD\output\resnet1d34\fedsm\20260129003903
feddualatt,67.29,77.32,57.95,32.26,53.45,57.11,70.72,78.05,40.16,48.59,68.27,43.56,59.45,70.99,55.63,,,,,,,,,,,,,,,,,83.34,41.61,56.33,37.39,65.28,57.68,8.96,12.25,17.08,4.28,80.62,39.08,18.51,10.33,42.47,59.79,87.84,59.13,67.43,57.14,73.88,76.92,29.98,39.90,23.19,17.89,86.12,58.09,30.92,32.49,65.57,81.09,63.02,52.07,33.35,39.60,52.21,61.76,31.22,37.79,42.80,39.32,39.66,37.28,48.29,51.26,34.35,50.60,C:\Users\kl23a\Documents\Working\FedCVD\output\dual_attention_resnet1d\feddualatt\20260127064724
feddualatt_8g0l,71.71,80.68,57.27,36.71,56.67,56.46,69.83,78.11,39.67,48.24,68.26,42.59,61.23,72.68,54.81,3.79,2.20,0.97,2.10,2.09,2.61,1.10,1.15,0.97,2.21,1.51,1.89,1.66,1.12,1.91,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feddualatt_7g1l,82.58,87.50,59.43,53.74,72.28,59.61,80.36,86.78,40.19,52.63,73.55,43.57,48.77,63.43,45.98,0.19,0.23,0.58,1.05,0.68,0.91,1.01,0.60,0.45,1.41,0.91,0.54,3.26,3.01,0.44,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feddualatt_6g2l,82.40,86.96,56.58,50.93,70.06,57.69,79.18,85.65,38.43,48.48,70.72,40.72,42.30,57.52,43.80,1.67,1.15,3.84,4.91,4.11,4.70,2.49,2.55,2.23,3.57,3.41,2.55,4.13,2.78,4.06,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feddualatt_5g3l,83.15,87.76,59.15,56.75,73.99,61.27,79.66,86.20,40.46,51.39,73.20,43.06,45.67,61.92,48.42,0.65,0.54,0.64,0.83,1.06,1.21,0.58,0.36,0.39,2.67,1.69,0.96,6.66,4.90,2.20,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feddualatt_4g4l,82.25,86.98,58.83,53.70,72.62,59.26,78.04,85.66,40.13,51.89,73.24,43.31,51.80,65.62,50.28,0.63,0.55,2.19,2.70,1.69,2.37,2.10,1.23,1.35,2.69,2.28,2.15,4.55,3.32,2.41,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feddualatt_3g5l,82.22,87.41,59.72,54.14,73.12,60.51,78.22,85.74,40.45,51.88,73.72,43.83,50.28,65.05,50.98,1.44,0.56,0.88,2.43,1.14,1.03,2.36,1.10,0.45,1.76,1.95,1.32,8.04,6.22,4.19,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feddualatt_2g6l,81.61,86.78,56.41,50.88,70.30,57.43,77.49,85.21,38.59,48.98,71.21,41.74,49.24,63.36,49.93,0.77,0.85,4.01,4.59,3.52,3.63,2.34,1.71,2.64,4.38,3.82,2.89,7.86,5.93,3.47,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feddualatt_1g7l,80.97,86.64,59.26,52.01,72.20,60.15,77.48,85.18,40.58,52.68,74.29,43.36,54.36,66.77,51.09,1.54,0.50,0.89,1.49,0.47,1.13,0.94,0.59,0.35,1.74,1.00,0.44,6.11,5.49,1.91,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feddualatt_0g8l,83.86,87.48,59.72,58.33,75.20,61.11,80.60,86.39,39.89,53.12,74.05,43.78,31.29,50.79,44.49,0.35,0.37,1.87,1.92,1.78,2.63,1.45,1.21,1.31,3.52,3.00,2.65,1.73,1.74,2.43,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
